index,i,j,k,mean,std,skew,kurtosis,exceed_3sigma,bc
367,4,4,7,0.004348298069089651,0.002410491928458214,0.10428407043218613,2.7017414569854736,0.0009,0.3741568922996521
368,4,4,8,0.0010636909864842892,0.0032839463092386723,-0.40989193320274353,2.5510854721069336,0.0003,0.45784878730773926
369,4,5,0,3.606976679293439e-05,0.003473840653896332,-0.07484372705221176,2.21488618850708,0.0,0.4540195167064667
370,4,5,1,0.004313112702220678,0.0024113082326948643,0.047668278217315674,2.943840742111206,0.003,0.34046414494514465
371,4,5,2,0.003915409557521343,0.0027016049716621637,-0.011373218148946762,2.719883680343628,0.0015,0.36771032214164734
372,4,5,3,0.00037680420791730285,0.003114714054390788,-0.03085744008421898,2.6624135971069336,0.0012,0.375956654548645
373,4,5,4,-0.001969224540516734,0.0032387063838541508,0.08606872707605362,2.5944020748138428,0.0004,0.3883005678653717
374,4,5,5,0.0004035943129565567,0.0031376953702419996,-0.018121520057320595,2.598426342010498,0.0006,0.38497471809387207
375,4,5,6,0.003903979202732444,0.0026942247059196234,0.010869694873690605,2.7173914909362793,0.0008,0.368043452501297
376,4,5,7,0.004283268004655838,0.0023802518844604492,0.09056052565574646,2.8123137950897217,0.0022,0.35849529504776
377,4,5,8,2.114722883561626e-05,0.00346740847453475,-0.10391058027744293,2.1744415760040283,0.0,0.46485376358032227
378,4,6,0,-0.002333548851311207,0.003058686852455139,0.6862054467201233,3.162865400314331,0.0026,0.4650459885597229
379,4,6,1,0.0032952812034636736,0.0026856937911361456,-0.5433125495910645,4.086719512939453,0.01,0.3169262111186981
380,4,6,2,0.004635042045265436,0.002543095964938402,0.04570135474205017,2.7553229331970215,0.0017,0.36369192600250244
381,4,6,3,0.003921747673302889,0.002740259747952223,-0.027972262352705002,2.7355594635009766,0.001,0.36584198474884033
382,4,6,4,0.003218872006982565,0.002860497683286667,-0.04710736870765686,2.7393195629119873,0.0014,0.36586424708366394
383,4,6,5,0.0039424411952495575,0.0027119957376271486,-0.02401808835566044,2.7442901134490967,0.0014,0.3646031618118286
384,4,6,6,0.004592695273458958,0.002536776941269636,0.03260813653469086,2.7454605102539062,0.0013,0.36462491750717163
385,4,6,7,0.0032934879418462515,0.0026389840058982372,-0.6122110486030579,4.4920735359191895,0.0118,0.30605071783065796
386,4,6,8,-0.0023484525736421347,0.003058279398828745,0.6827077865600586,3.1067447662353516,0.002,0.47190549969673157
387,4,7,0,-0.003293968504294753,0.0015709389699622989,0.6093369722366333,9.750676155090332,0.0279,0.14063553512096405
388,4,7,1,-0.0007014074362814426,0.0035148293245583773,0.13594233989715576,2.116137742996216,0.0001,0.48129206895828247
389,4,7,2,0.0033041140995919704,0.0026353150606155396,-0.6175746917724609,4.311023235321045,0.0101,0.32043400406837463
390,4,7,3,0.004284456837922335,0.0023751917760819197,0.0343494713306427,3.005788564682007,0.0037,0.33308395743370056
391,4,7,4,0.004361256957054138,0.0024123217444866896,0.08025916665792465,2.744250774383545,0.0014,0.3667455017566681
392,4,7,5,0.004311452154070139,0.0023573869839310646,0.0643979087471962,2.788601875305176,0.002,0.3600897789001465
393,4,7,6,0.0033012134954333305,0.0026453363243490458,-0.576117753982544,4.19498872756958,0.0104,0.31750065088272095
394,4,7,7,-0.0007737153791822493,0.003541667480021715,0.15928882360458374,2.117696762084961,0.0001,0.48419255018234253
395,4,7,8,-0.0033205943182110786,0.0015869257040321827,0.4617762267589569,9.581476211547852,0.028,0.1266232132911682
396,4,8,0,-0.003141726367175579,0.0005452277837321162,-2.914949893951416,42.32495880126953,0.032,0.22438138723373413
397,4,8,1,-0.003314909292384982,0.0016142504755407572,0.5806899666786194,9.195075035095215,0.0253,0.14542576670646667
398,4,8,2,-0.0021875733509659767,0.003105711890384555,0.6126099228858948,2.942268133163452,0.0022,0.4674254059791565
399,4,8,3,0.00021365087013691664,0.00345922214910388,-0.13365432620048523,2.2578938007354736,0.0001,0.450802206993103
400,4,8,4,0.001206410932354629,0.003260956145823002,-0.4259224236011505,2.6767735481262207,0.0002,0.44135594367980957
401,4,8,5,0.0001466834801249206,0.0034721153788268566,-0.13923484086990356,2.226456880569458,0.0,0.4578513503074646
402,4,8,6,-0.0022546006366610527,0.003094421001151204,0.6689608693122864,3.0280184745788574,0.0032,0.4780382215976715
403,4,8,7,-0.003298393916338682,0.0016207010485231876,0.6429069638252258,9.514655113220215,0.028,0.1485423594713211
404,4,8,8,-0.0031372280791401863,0.0005351908621378243,-2.741825819015503,46.33124542236328,0.0312,0.18384157121181488
405,5,0,0,-0.0031228051520884037,0.0004698155098594725,-1.7428644895553589,53.94096755981445,0.0272,0.07485176622867584
406,5,0,1,-0.003299989039078355,0.0013890680857002735,0.1919155716896057,11.558610916137695,0.0349,0.08970209211111069
407,5,0,2,-0.0026829896960407495,0.0028308273758739233,0.8033206462860107,3.7210090160369873,0.0041,0.44217145442962646
408,5,0,3,-0.000785986369010061,0.0035042811650782824,0.14317534863948822,2.151719808578491,0.0001,0.47427141666412354
409,5,0,4,0.000157355418195948,0.003450587624683976,-0.13538327813148499,2.2427151203155518,0.0,0.4540606439113617
