sample_idx,mse,magnitude_mse,psnr,magnitude_psnr,max_val,max_magnitude,n_points,n_atoms
3169,0.005142483860254288,0.007957858964800835,22.885154724121094,20.992034912109375,0.9996412992477417,0.999999463558197,500,42
3170,0.004328844603151083,0.007425530813634396,23.63453483581543,21.2927188873291,0.9997991919517517,0.9999994039535522,500,39
3171,0.003550199558958411,0.005779960658401251,24.458877563476562,22.38072967529297,0.9955663681030273,0.999997615814209,500,47
3172,0.0028376788832247257,0.0026886195410043,25.422861099243164,25.704696655273438,0.994545578956604,0.9999989867210388,500,70
3173,0.009913202375173569,0.012808158993721008,20.031455993652344,18.925132751464844,0.9992629885673523,1.0,500,38
3174,0.007827814668416977,0.015080162324011326,21.051807403564453,18.215927124023438,0.9986437559127808,0.9999985694885254,500,27
3175,0.004973509348928928,0.007050930522382259,23.01824378967285,21.517534255981445,0.9982600212097168,0.9999998807907104,500,44
3176,0.00677525345236063,0.010225622914731503,21.67000961303711,19.90310287475586,0.9976155161857605,0.9999999403953552,500,46
3177,0.007336911279708147,0.015111134387552738,21.319156646728516,18.207012176513672,0.9970442056655884,0.9999980330467224,500,24
3178,0.007952447980642319,0.013612411916255951,20.985628128051758,18.660646438598633,0.9989225268363953,0.9999998807907104,500,39
3179,0.00399572541937232,0.005698120221495628,23.96190643310547,22.44268035888672,0.9974545836448669,0.999999463558197,500,46
3180,0.0034559459891170263,0.0043531195260584354,24.594614028930664,23.611989974975586,0.9977325201034546,0.9999996423721313,500,53
3181,0.0020780067425221205,0.0023220626171678305,26.81499671936035,26.341184616088867,0.999018132686615,0.9999909400939941,500,52
3182,0.0033595887944102287,0.004667005036026239,24.724756240844727,23.309614181518555,0.9985753893852234,0.9999997615814209,500,46
3183,0.007187319453805685,0.011777431704103947,21.416757583618164,19.289491653442383,0.9979788661003113,0.9999998807907104,500,33
3184,0.01162739284336567,0.014598536305129528,19.343830108642578,18.35690689086914,0.9998449087142944,0.9999999403953552,500,48
3185,0.007183490786701441,0.00935604888945818,21.421415328979492,20.289072036743164,0.9982482194900513,0.9999996423721313,500,39
3186,0.004677773918956518,0.006785622797906399,23.283918380737305,21.684101104736328,0.9981952905654907,0.9999997019767761,500,48
